Site,Date,Investigators,MBU,Temp (C) ,Conductivity,DO (mg/L),DO (%),Residual depth,Transect,LULC Class,Right bank (%),Left bank (%),"Depth (cm, R->L)",Substrate type,Substrate (%),Undercut banks,Shaded cover (%),Woody debris,Macrophytes
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,6,S,0,0,36,,,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,6,U,0,0,45,,,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,6,W,0,0,47,,,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,6,WV,30,0,64,,,,,,
GC,7302021,"ALW, CRU",,,,,,,,,,,57,,,,,,
GC,7302021,"ALW, CRU",,,,,,,6,,,,30,,,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,7,B,0,20,10,cobble,90,A,0,some,minimal
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,7,C,0,0,3,gravel,0,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,7,F,0,0,15,sand,10,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,7,G,90,80,32,,,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,7,O,0,0,50,,,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,7,S,0,0,55,,,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,7,U,0,0,60,,,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,7,W,0,0,60,,,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,7,WV,10,0,67,,,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,7,,,,25,,,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,8,B,0,50,0,cobble,100,A,0,none,minimal
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,8,C,0,0,3,gravel,0,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,8,F,0,0,0,sand,0,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,8,G,20,50,10,,,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,8,O,0,0,20,,,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,8,S,0,0,35,,,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,8,U,0,0,56,,,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,8,W,0,0,70,,,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,8,WV,80,0,60,,,,,,
GC,7302021,"ALW, CRU",,,,,,,8,,,,35,,,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,9,B,0,40,40,cobble,70,A,0,minimal,minimal
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,9,C,0,0,50,gravel,0,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,9,F,0,0,40,sand,30,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,9,G,90,60,35,,,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,9,O,0,0,35,,,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,9,S,0,0,40,,,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,9,U,0,0,47,,,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,9,W,0,0,50,,,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,9,WV,10,0,37,,,,,,
GC,7302021,"ALW, CRU",1,19.3,350.1,10.35,130.6,80,9,,,,20,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,1,B,,,10,cobble,80,PAW,0,none,minimal
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,1,C,,,20,gravel,10,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,1,F,,,15,sand,10,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,1,G,20,80,17,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,1,O,,,14,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,1,S,,,12,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,1,U,,,15,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,1,W,,,30,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,1,WV,80,20,35,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,,,,,43,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,2,B,,,25,cobble,70,PAW,0,none,none
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,2,C,,,25,gravel,15,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,2,F,,,20,sand,15,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,2,G,80,20,25,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,2,O,,,25,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,2,S,,,34,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,2,U,,,40,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,2,W,,,35,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,2,WV,20,80,45,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,2,,,,17,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,3,B,,,5,cobble,60,PAW,0,minimal,minimal
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,3,C,,,12,gravel,35,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,3,F,,,23,sand,5,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,3,G,50,50,27,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,3,O,,,25,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,3,S,,,30,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,3,U,,,27,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,3,W,,,30,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,3,WV,50,50,27,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,3,,,,40,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,4,B,20,,18,cobble,50,P,1,none,minimal
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,4,C,,,25,gravel,50,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,4,F,,,27,sand,0,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,4,G,20,30,27,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,4,O,,,27,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,4,S,,,26,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,4,U,,,25,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,4,W,,,27,,,,,,
