Site,Date,Investigators,MBU,Temp (C) ,Conductivity,DO (mg/L),DO (%),Residual depth,Transect,LULC Class,Right bank (%),Left bank (%),"Depth (cm, R->L)",Substrate type,Substrate (%),Undercut banks,Shaded cover (%),Woody debris,Macrophytes
CR,8292021,"TGQ, SC",1,na,na,na,na,na,7,,,,32,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,8,B,15,,5,cobble,75,A,0,none,some
CR,8292021,"TGQ, SC",1,na,na,na,na,na,8,C,,,38,gravel,10,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,8,F,,,45,sand,15,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,8,G,75,85,60,clay,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,8,O,,,78,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,8,S,,,90,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,8,U,,,700,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,8,W,,,95,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,8,WV,10,15,65,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,8,,,,23,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,9,B,10,,10,cobble,30,A,0,minimal,moderate
CR,8292021,"TGQ, SC",1,na,na,na,na,na,9,C,,,32,gravel,30,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,9,F,,,52,sand,40,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,9,G,80,70,75,clay,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,9,O,,,80,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,9,S,,,62,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,9,U,,,58,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,9,W,,,55,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,9,WV,10,30,45,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,9,,,,23,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,10,B,15,,10,cobble,40,A,0,none,minimal
CR,8292021,"TGQ, SC",1,na,na,na,na,na,10,C,,,75,gravel,40,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,10,F,,,85,sand,20,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,10,G,35,95,50,clay,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,10,O,,,65,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,10,S,,,70,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,10,U,,,65,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,10,W,,,55,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,10,WV,50,5,35,,,,,,
CR,8292021,"TGQ, SC",1,na,na,na,na,na,10,,,,10,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,1,B,60,5,10,cobble,70,PAW,0,minimal,moderate
CR,8292021,"TGQ, SC",2,na,na,na,na,na,1,C,,,30,gravel,20,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,1,F,,,40,sand,10,,,,
